success,timestamp,date,base,rates.AED,rates.AFN,rates.ALL,rates.AMD,rates.ANG,rates.AOA,rates.ARS,rates.AUD,rates.AWG,rates.AZN,rates.BAM,rates.BBD,rates.BDT,rates.BGN,rates.BHD,rates.BIF,rates.BMD,rates.BND,rates.BOB,rates.BRL,rates.BSD,rates.BTN,rates.BWP,rates.BYN,rates.BYR,rates.BZD,rates.CAD,rates.CDF,rates.CHF,rates.CLF,rates.CLP,rates.CNY,rates.COP,rates.CRC,rates.CUC,rates.CVE,rates.CZK,rates.DJF,rates.DKK,rates.DOP,rates.DZD,rates.EGP,rates.ERN,rates.ETB,rates.EUR,rates.FJD,rates.FKP,rates.GBP,rates.GEL,rates.GHS,rates.GIP,rates.GMD,rates.GNF,rates.GTQ,rates.GYD,rates.HKD,rates.HNL,rates.HRK,rates.HTG,rates.HUF,rates.IDR,rates.ILS,rates.INR,rates.IQD,rates.ISK,rates.JMD,rates.JOD,rates.JPY,rates.KES,rates.KGS,rates.KHR,rates.KMF,rates.KRW,rates.KWD,rates.KYD,rates.KZT,rates.LAK,rates.LBP,rates.LKR,rates.LRD,rates.LSL,rates.LYD,rates.MAD,rates.MDL,rates.MGA,rates.MKD,rates.MMK,rates.MNT,rates.MOP,rates.MRO,rates.MUR,rates.MVR,rates.MWK,rates.MXN,rates.MYR,rates.MZN,rates.NAD,rates.NGN,rates.NIO,rates.NOK,rates.NPR,rates.NZD,rates.OMR,rates.PAB,rates.PEN,rates.PGK,rates.PHP,rates.PKR,rates.PLN,rates.PYG,rates.QAR,rates.RON,rates.RSD,rates.RUB,rates.RWF,rates.SAR,rates.SBD,rates.SCR,rates.SEK,rates.SHP,rates.SLL,rates.SOS,rates.SRD,rates.SSP,rates.STD,rates.SVC,rates.SZL,rates.THB,rates.TJS,rates.TMT,rates.TND,rates.TOP,rates.TRY,rates.TTD,rates.TWD,rates.TZS,rates.UAH,rates.UGX,rates.UYU,rates.UZS,rates.VES,rates.VND,rates.VUV,rates.WST,rates.XAF,rates.XAG,rates.XAU,rates.XCD,rates.XDR,rates.XOF,rates.XPD,rates.XPF,rates.XPT,rates.YER,rates.ZAR,rates.ZMW,rates.JEP,rates.GGP,rates.IMP,rates.CNH,rates.MTL,rates.ZWL,rates.SGD,rates.USD,rates.BTC,rates.BCH,rates.ETH,rates.LTC,rates.LINK,rates.XRP,rates.XLM,rates.UNI,rates.ADA,rates.LTL,rates.LVL,rates.VEF,rates.ZMK,rates.XRH,rates.RUTH,rates.XCU,rates.ALU,rates.NI,rates.ZNC,rates.TIN,rates.LCO,rates.IRD,unit
TRUE,1629877080,25-08-2021,USD,3.675810974,86.13224595,103.7448527,492.0164182,1.795381888,636.1476164,97.40879852,1.380220764,1.802174465,1.678351032,1.666638795,2.019790035,85.31108791,1.665133973,0.377196894,1983.836486,1.00069,1.35609144,6.895903684,5.249836263,0.999778875,73.26780692,11.2581305,2.50483288,19610.192,2.015493736,1.261591972,1997.858372,0.914233325,0.028398283,783.6111753,6.477401568,3867.69606,620.7606524,1.00098,93.98651161,21.74438929,178.0762292,6.334162944,56.99867086,135.3712453,15.71401314,15.00961454,45.5378308,0.851585,2.103659272,0.722776425,0.728785,3.112869693,6.041049793,0.723108822,51.16110195,9805.32821,7.742579603,209.2339881,7.791011142,23.75617034,6.379236358,96.01495407,296.2924178,14425.36699,3.224079076,74.29017718,1459.564299,127.2643019,153.4105321,0.709601901,109.8074379,109.7374788,84.72129213,4081.597189,419.1847151,1168.195065,0.301009216,0.833348466,425.1563645,9586.92986,1512.484869,199.5968604,171.9098166,15.0634598,4.535866171,8.986516941,17.66512015,3922.400475,52.52499338,1645.84508,2853.466954,8.021332691,357.2889979,42.75738952,15.45309947,812.8561713,20.21023632,4.218080323,63.77359878,15.0619828,411.7744047,35.12606177,8.832420288,117.2356803,1.441200915,0.385199199,1.000419554,4.104881245,3.556467031,49.9194307,165.4623342,3.894456355,6927.680548,3.643035568,4.202929498,100.2024836,73.74687195,1008.709323,3.752869739,8.055799839,12.87535295,8.689031715,1.378008057,10251.23001,584.069837,21.41539882,130.3459716,20700.46477,8.748676111,15.08862055,32.72633982,11.41077942,3.50147,2.799182638,2.272660979,8.385952146,6.799927538,27.93513192,2320.507625,26.68780808,3535.569165,43.24082942,10635.9122,4123671.616,22824.8265,110.9179743,2.562274851,558.8482248,0.042162902,0.000558485,2.703847224,0.70479033,558.9096772,0.000400064,102.0367476,0.000954109,250.9503028,14.98002042,16.74553559,0.72271139,0.722740295,0.723224439,6.477790522,0.34257124,322.1219518,1.354765573,1,2.07E-05,0.001538695,0.000313133,0.005663035,0.037725565,0.857060639,2.805316908,0.037268982,0.362570683,2.954954555,0.605252934,2.14E+11,9003.902567,5.89E-05,0.001333533,3.742772972,12.20086954,1.669349569,10.85974298,0.941323599,0.043109005,0.000192444,per ounce
TRUE,1629877380,25-08-2021,USD,3.674891673,86.11416595,103.7521116,492.2524964,1.795130711,636.5738107,97.44701194,1.380484767,1.80172434,1.704508467,1.667221792,2.018942427,85.36055152,1.664900959,0.377211975,1984.748686,1.00049,1.356104994,6.898040068,5.249984904,1.000078731,73.28758211,11.25205585,2.505283506,19611.956,2.015654913,1.26210225,1998.318025,0.914346279,0.028396864,783.101997,6.4790379,3870.40296,620.8165136,1.00055,93.93862541,21.7341862,177.9623481,6.33998771,57.02659658,135.2819699,15.7108162,15.01201531,45.55194217,0.851715,2.103722352,0.723296699,0.728805,3.1109558,6.038514251,0.722776425,51.15849011,9806.993817,7.742656963,209.2298059,7.787425569,23.76709621,6.386583983,96.0283873,296.2586258,14435.15038,3.224456703,74.30231914,1459.316394,127.3246955,153.4273926,0.709277072,109.8661562,109.7235045,84.71959838,4081.964203,419.3520128,1167.761912,0.30103931,0.833073598,424.9949649,9582.714099,1511.714026,199.5649562,171.8136305,15.06539804,4.536863583,8.98786407,17.6596467,3922.949424,52.50400333,1646.437347,2851.328778,8.021653406,357.3496878,42.78865116,15.45148596,812.4013903,20.19298749,4.214958594,63.74878796,15.06833307,411.8733744,35.10675827,8.831159816,117.2028681,1.439772897,0.385076,1.000139691,4.104142972,3.555222977,49.92796567,165.4375327,3.893048657,6926.711118,3.641651379,4.20081904,100.2074905,73.72650443,1008.87061,3.750732036,8.054994677,12.87213711,8.689751395,1.378405502,10254.20226,584.3213541,21.41025989,130.3420638,20709.77886,8.752611716,15.08409803,32.76904093,11.41454279,3.501085,2.799272539,2.271020215,8.389824049,6.799587871,27.93485912,2320.345246,26.67713936,3535.039031,43.23737153,10631.02285,4126392.504,22816.1587,110.9224098,2.561941951,559.1834198,0.04216586,0.000558262,2.705063372,0.705058073,558.7309066,0.0004003,101.9692405,0.000953966,250.880311,14.94857767,16.75340418,0.723116048,0.722682486,0.722841459,6.478602621,0.343405798,322.1895718,1.354051934,1,2.07E-05,0.001540109,0.000313806,0.005673887,0.037865986,0.8622979,2.807715302,0.037335666,0.363657508,2.95341913,0.605355765,2.14E+11,9005.078638,5.89E-05,0.00133396,3.740687076,12.19243761,1.669182005,10.85778879,0.940740416,0.043108574,0.000192408,per ounce
TRUE,1629877680,25-08-2021,USD,3.674041835,86.17443261,103.7583336,492.129539,1.794592473,636.6437359,97.43829633,1.380161311,1.801274215,1.700716445,1.666455568,2.018397536,85.31449919,1.667082789,0.377235276,1983.320895,1.00044,1.355671283,6.898384646,5.248568273,1.000388582,73.29124418,11.25205585,2.504382253,19609.996,2.015856384,1.262296838,1998.438154,0.91434828,0.028384094,783.148978,6.479387147,3870.01626,620.8227204,1.00089,93.9320528,21.74352411,177.9997153,6.336884315,57.01861781,135.3923134,15.70785884,15.00706372,45.56013586,0.851765,2.104479306,0.723303925,0.728845,3.112013112,6.042679785,0.723079918,51.15797891,9801.996997,7.743507924,209.2820831,7.78817214,23.76115824,6.381543471,96.0226302,296.2556639,14435.00616,3.225935306,74.29711964,1458.412269,127.285245,153.3814095,0.709461422,109.8652213,109.6774515,84.66881588,4079.354329,419.3226863,1167.936996,0.301120564,0.833356795,425.0034596,9584.917792,1512.076775,199.4891836,171.8445455,15.06976548,4.53763431,8.986067898,17.66794515,3922.557318,52.49665681,1645.779272,2852.782738,8.021332691,357.1140679,42.75787103,15.45256743,812.6612651,20.19969348,4.217950886,63.72330195,15.07270031,411.7005276,35.10184465,8.825856223,117.290758,1.439507675,0.385333949,1.000379574,4.105168351,3.555116344,49.93295672,165.4937494,3.89433299,6927.265078,3.643253418,4.200945052,100.2355292,73.70955377,1008.779886,3.753057257,8.054672613,12.87033623,8.691774013,1.377799446,10254.09976,584.5199141,21.4126134,130.3134066,20704.60436,8.753136464,15.08892205,32.75823558,11.40929687,3.50077,2.799104749,2.272246283,8.382043859,6.795308068,27.9343006,2320.368436,26.67740608,3537.512989,43.25466095,10631.02285,4122970.781,22829.6166,110.9712001,2.563222333,558.926437,0.042102156,0.000557479,2.703360765,0.705051027,559.032582,0.000400208,102.0191959,0.000953889,250.9254459,14.95837015,16.74921876,0.723253343,0.722783651,0.723231665,6.47957877,0.339742542,322.0897519,1.354688077,1,2.08E-05,0.001544805,0.000314503,0.005691533,0.038016636,0.864814348,2.818441393,0.037433941,0.364547325,2.953064801,0.605059369,2.14E+11,9009.212185,5.89E-05,0.001333573,3.740086439,12.1876744,1.669766157,10.8606115,0.94092854,0.043094787,0.000192456,per ounce
TRUE,1629877980,25-08-2021,USD,3.673788712,86.15979642,103.7852954,492.0164182,1.795489536,636.281212,97.44732061,1.379249008,1.800770075,1.69113659,1.666522196,2.018861703,85.34520075,1.66554319,0.377148568,1984.609873,1.00019,1.355820371,6.892320072,5.249578921,0.999658933,73.27732831,11.2598179,2.505433715,19602.352,2.016400355,1.261586186,1998.817516,0.914507629,0.028386648,783.383756,6.480623316,3870.0936,621.0896128,1.00023,93.9508317,21.74719038,178.079788,6.338574615,57.01861781,135.3193022,15.74501011,15.01876748,45.56195669,0.851865,2.103449007,0.72305824,0.728695,3.111017995,6.040868683,0.722704164,51.16309093,9802.976765,7.741960723,209.1900753,7.791731185,23.75450771,6.385499316,96.01207552,296.2408544,14431.83344,3.224396585,74.34242955,1459.637212,127.3488749,153.3921389,0.709213259,109.7721799,109.7366625,84.65188838,4078.375627,419.1048324,1168.228802,0.301195799,0.833223526,424.9397492,9585.588482,1511.850057,199.4971597,171.839393,15.06298842,4.537951669,8.98912139,17.67024047,3923.027846,52.52289438,1646.799288,2852.668702,8.023898414,357.1783279,42.76471106,15.46461814,812.2064841,20.20190536,4.216939407,63.75261086,15.06818248,411.6593736,35.12360496,8.823146962,117.2579457,1.439393655,0.385195349,0.999619946,4.104019926,3.557639997,49.95342003,165.4077709,3.893749202,6926.226404,3.643144188,4.204305371,100.1764476,73.70586885,1008.376669,3.7535073,8.055477774,12.87239437,8.694799783,1.377620384,10259.22476,584.3213541,21.41004594,130.3603002,20703.77644,8.746926953,15.08274128,32.76838606,11.41442875,3.501365,2.798992889,2.272132759,8.383900249,6.795036335,27.95021853,2320.878616,26.68087341,3537.477647,43.26589907,10633.78639,4124166.323,22816.1587,110.9168655,2.562940649,558.993476,0.042096887,0.000557273,2.702928357,0.705163761,558.8370516,0.00040014,102.0253129,0.000953832,250.9329684,14.95807079,16.74720976,0.723159404,0.722733069,0.723065466,6.47426059,0.339669032,322.2893916,1.354227888,1,2.08E-05,0.001543796,0.000314821,0.005699798,0.03798956,0.864516968,2.81941764,0.037456158,0.364334365,2.953596295,0.605228738,2.14E+11,9007.138121,5.89E-05,0.001334627,3.73769114,12.17045312,1.668879971,10.86419418,0.940740416,0.043090909,0.000192327,per ounce
TRUE,1629878400,25-08-2021,USD,3.676027363,86.17184975,103.8008502,492.0262548,1.795220417,636.5801645,97.40117748,1.379525159,1.80150828,1.756006644,1.666388939,2.018841521,85.3230274,1.666359216,0.377352144,1983.737334,1.00067,1.356470937,6.894663203,5.248212725,1.000338606,73.2722014,11.25880546,2.505483785,19603.332,2.015312412,1.262241178,1998.637496,0.914269018,0.02838381,783.38361,6.479195037,3867.46404,620.9034088,1.00096,93.91890757,21.73157367,177.9837008,6.340431682,57.04654352,135.3748141,15.72686139,15.01561647,45.55148696,0.851955,2.103932617,0.723209987,0.728898,3.111903733,6.041713864,0.722761973,51.1386743,9806.797863,7.741496563,209.3134494,7.789953649,23.75545778,6.38557347,95.97561391,296.4505203,14415.85306,3.225033929,74.26508063,1459.126819,127.4057338,153.3768112,0.709220526,109.8020701,109.7893895,84.65188838,4080.9855,419.3603758,1168.415801,0.301049314,0.833723285,424.8165758,9582.618286,1512.424411,199.5829023,171.8086211,15.06242803,4.534914096,8.986427133,17.66529671,3922.165211,52.50242907,1645.713465,2853.638008,8.022294837,357.1961779,42.76207641,15.45665379,812.4419957,20.19731314,4.214703742,63.727748,15.06766211,411.7206994,35.11588356,8.823964224,117.2673207,1.440473396,0.385224909,0.999779868,4.103035562,3.55596941,49.878428,165.5069769,3.893745956,6925.395464,3.641750607,4.204700051,100.198478,73.7751249,1008.86053,3.750950559,8.056927065,12.87345944,8.69501725,1.377923412,10255.73948,584.3155091,21.39935019,130.3498794,20705.63926,8.753748669,15.07912326,32.77791704,11.40998112,3.502065,2.797145195,2.271795186,8.390400524,6.797414003,27.93924022,2320.344706,26.6747389,3535.1804,43.26373789,10633.46752,4123671.616,22823.686,110.9346074,2.562479712,559.1610735,0.042123887,0.000557201,2.703820199,0.70507921,559.1722466,0.000400224,102.0469196,0.000953689,250.9330665,14.94283106,16.74938618,0.722993206,0.722812555,0.723253343,6.475520976,0.338977522,322.2636317,1.353974725,1,2.08E-05,0.001541936,0.00031406,0.005693196,0.03783617,0.862482777,2.816366465,0.037343031,0.36387662,2.954009678,0.60533157,2.14E+11,9007.231039,5.88E-05,0.001334173,3.743020103,12.18779622,1.669566523,10.86614837,0.941220131,0.043118483,0.000192496,per ounce
TRUE,1629878520,25-08-2021,USD,3.675917167,86.10727833,103.7417417,492.1098658,1.795112769,636.4147827,97.42162458,1.37953895,1.8008601,1.756849274,1.667071879,2.01882134,85.31705766,1.666525752,0.377276746,1983.757165,1.00031,1.356267635,6.895559106,5.248160256,1.000248649,73.2568207,11.25351826,2.50415694,19607.84,2.015151236,1.26187541,1998.178186,0.91469857,0.028385513,783.10956,6.478612242,3870.78966,621.0896128,1.00079,93.96679376,21.73526726,177.9623481,6.339544714,57.02488684,135.4045757,15.71774692,15.01606661,45.53646519,0.851955,2.10307053,0.722957075,0.728898,3.110815318,6.037608701,0.723296699,51.12589423,9806.014048,7.738324801,209.2402614,7.787384942,23.76305839,6.384361023,95.99576375,296.4149697,14425.22103,3.225130631,74.27102011,1458.96641,127.3446347,153.4044011,0.709567947,109.7976807,109.7630617,84.67558688,4081.760306,419.041974,1167.902083,0.301097466,0.833031952,424.7868443,9588.079614,1512.847619,199.5988544,171.9151062,15.06769908,4.534188706,8.984990195,17.67006391,3924.713905,52.51712211,1645.779272,2852.212558,8.021172333,357.035528,42.7757563,15.46437857,812.742476,20.19045065,4.212134725,63.74495105,15.0687163,411.9058923,35.10816216,8.821759401,117.2837268,1.43998409,0.385082453,1.000259633,4.102789471,3.557000198,49.89288711,165.4491067,3.892189376,6927.057343,3.642078296,4.204237908,100.2014822,73.77659996,1009.011736,3.751363118,8.057088097,12.86934269,8.698059198,1.378419276,10259.22448,584.151989,21.40320138,130.3094988,20715.57429,8.752261885,15.08078152,32.75597756,11.40701604,3.501715,2.798655307,2.27122756,8.390400524,6.797481936,27.94845501,2319.579436,26.67740608,3536.134641,43.23564259,10638.14429,4123383.037,22820.9488,110.9079945,2.563017472,558.9767162,0.042106628,0.000557501,2.703793173,0.704896018,558.9543699,0.000400044,102.0275491,0.00095387,250.885424,14.9467153,16.75407385,0.723303925,0.723108822,0.7231305,6.474679529,0.339584395,322.2153317,1.354177751,1,2.08E-05,0.001542715,0.000313916,0.005687601,0.037860619,0.86259504,2.817447914,0.037389989,0.363427969,2.954541171,0.605071467,2.14E+11,9008.581219,5.89E-05,0.001334173,3.738902126,12.17173584,1.67046772,10.86234856,0.941220131,0.043115037,0.000192423,per ounce
TRUE,1629878520,25-08-2021,USD,3.675917167,86.10727833,103.7417417,492.1098658,1.795112769,636.4147827,97.42162458,1.37953895,1.8008601,1.756849274,1.667071879,2.01882134,85.31705766,1.666525752,0.377276746,1983.757165,1.00031,1.356267635,6.895559106,5.248160256,1.000248649,73.2568207,11.25351826,2.50415694,19607.84,2.015151236,1.26187541,1998.178186,0.91469857,0.028385513,783.10956,6.478612242,3870.78966,621.0896128,1.00079,93.96679376,21.73526726,177.9623481,6.339544714,57.02488684,135.4045757,15.71774692,15.01606661,45.53646519,0.851955,2.10307053,0.722957075,0.728898,3.110815318,6.037608701,0.723296699,51.12589423,9806.014048,7.738324801,209.2402614,7.787384942,23.76305839,6.384361023,95.99576375,296.4149697,14425.22103,3.225130631,74.27102011,1458.96641,127.3446347,153.4044011,0.709567947,109.7976807,109.7630617,84.67558688,4081.760306,419.041974,1167.902083,0.301097466,0.833031952,424.7868443,9588.079614,1512.847619,199.5988544,171.9151062,15.06769908,4.534188706,8.984990195,17.67006391,3924.713905,52.51712211,1645.779272,2852.212558,8.021172333,357.035528,42.7757563,15.46437857,812.742476,20.19045065,4.212134725,63.74495105,15.0687163,411.9058923,35.10816216,8.821759401,117.2837268,1.43998409,0.385082453,1.000259633,4.102789471,3.557000198,49.89288711,165.4491067,3.892189376,6927.057343,3.642078296,4.204237908,100.2014822,73.77659996,1009.011736,3.751363118,8.057088097,12.86934269,8.698059198,1.378419276,10259.22448,584.151989,21.40320138,130.3094988,20715.57429,8.752261885,15.08078152,32.75597756,11.40701604,3.501715,2.798655307,2.27122756,8.390400524,6.797481936,27.94845501,2319.579436,26.67740608,3536.134641,43.23564259,10638.14429,4123383.037,22820.9488,110.9079945,2.563017472,558.9767162,0.042106628,0.000557501,2.703793173,0.704896018,558.9543699,0.000400044,102.0275491,0.00095387,250.885424,14.9467153,16.75407385,0.723303925,0.723108822,0.7231305,6.474679529,0.339584395,322.2153317,1.354177751,1,2.08E-05,0.001542715,0.000313916,0.005687601,0.037860619,0.86259504,2.817447914,0.037389989,0.363427969,2.954541171,0.605071467,2.14E+11,9008.581219,5.89E-05,0.001334173,3.738902126,12.17173584,1.67046772,10.86234856,0.941220131,0.043115037,0.000192423,per ounce
TRUE,1629879180,25-08-2021,USD,3.675625313,86.13396785,103.7863323,492.2770879,1.79470012,636.3765656,97.43521766,1.37973396,1.801454265,1.696772392,1.667321735,2.018377355,85.31535202,1.665559843,0.377303135,1984.391738,1.00031,1.355535748,6.895214528,5.248349383,0.999728899,73.27366623,11.25363076,2.504257079,19612.74,2.015977266,1.262517642,1998.337664,0.915039062,0.028383243,783.219293,6.478377185,3868.46946,621.0709924,1.0007,93.96585482,21.7433318,178.0335238,6.34011411,57.03400545,135.3467184,15.73399945,15.00736382,45.53692039,0.851795,2.103806458,0.723116048,0.728675,3.113112661,6.041593124,0.72267526,51.15500762,9802.486881,7.740413522,209.2988118,7.792038722,23.76804629,6.38350086,96.03606343,296.7681875,14416.58216,3.226315621,74.25549357,1459.097654,127.3164929,153.4166632,0.709355414,109.7859694,109.7807258,84.71790462,4079.843681,419.3144284,1168.137032,0.301241922,0.833106916,425.0162017,9589.133554,1512.25815,199.4732315,171.8224321,15.06272794,4.538087679,8.983463449,17.66459046,3922.243632,52.52394388,1645.746369,2851.642377,8.022214658,357.2175979,42.78125554,15.45469356,812.7099917,20.19305279,4.21503766,63.75835822,15.0728325,411.8198772,35.12886955,8.833273834,117.2181023,1.439977777,0.385321163,0.999909804,4.103773835,3.556964653,49.86993085,165.4011572,3.892060573,6930.658081,3.642097302,4.205083172,100.1534158,73.75757924,1008.265784,3.752152622,8.054189516,12.87551782,8.695392323,1.377546513,10256.14996,584.4728368,21.41005294,130.3238274,20714.12543,8.749813063,15.07852026,32.70996284,11.41260408,3.50105,2.797838318,2.271881003,8.39555568,6.797821603,27.95086403,2320.391706,26.69447603,3535.639849,43.22829459,10638.14429,4123300.586,22811.6457,110.9822888,2.56250532,558.72532,0.042171226,0.00055724,2.704739066,0.705001706,558.993476,0.000400388,101.9828761,0.000953508,250.9556791,14.94597534,16.75725477,0.722790877,0.722892041,0.723152178,6.479138406,0.346885834,322.2604117,1.354425629,1,2.08E-05,0.001549316,0.000315036,0.005713584,0.038029945,0.866560848,2.831610744,0.037589866,0.366289626,2.954304952,0.605416254,2.14E+11,9002.18751,5.88E-05,0.001334547,3.732089552,12.16563084,1.668127974,10.86419418,0.941464692,0.043092202,0.00019234,per ounce
TRUE,1629879480,25-08-2021,USD,3.674596816,86.14171642,103.7095949,491.8836242,1.794825709,636.3066324,97.43287659,1.37964238,1.80219247,1.722941627,1.666422254,2.018336993,85.3349669,1.663944619,0.377114638,1984.728856,1.00089,1.35636251,6.895903684,5.248163257,1.000488533,73.27513106,11.25925543,2.503856522,19604.508,2.015997413,1.261891697,1998.956911,0.913804927,0.02840112,783.7043527,6.48178916,3870.20961,621.2199556,1.0002,93.97430532,21.74749154,177.9837008,6.33661524,57.02773641,135.356678,15.73505173,15.01756709,45.56241189,0.851395,2.102965398,0.723043788,0.728305,3.111258013,6.040808313,0.722942623,51.15251667,9801.996997,7.741264483,209.1357071,7.789065039,23.76282087,6.380327335,96.03606343,296.1964417,14421.12959,3.226440005,74.25209265,1459.155985,127.3162899,153.3875406,0.70955894,109.8341965,109.7835982,84.66373963,4081.434072,419.0886286,1168.123532,0.301052323,0.833081928,424.84206,9585.013605,1512.681358,199.5928724,171.8311247,15.06653129,4.537588973,8.98975005,17.66194201,3921.459419,52.50925084,1646.684125,2853.638008,8.019328219,357.2604379,42.76290002,15.46017838,812.5069644,20.19314434,4.214586935,63.75830519,15.0635435,411.7826745,35.10184465,8.825136823,117.2755237,1.44022626,0.38520481,0.999879819,4.104225002,3.556680298,49.86689536,165.3680885,3.888916614,6929.065447,3.642221935,4.200770435,100.1574213,73.77815918,1008.820208,3.75310572,8.056121903,12.87106037,8.696320942,1.378282537,10252.76724,584.1457609,21.40962703,130.3277352,20705.63926,8.746752037,15.07897251,32.72995248,11.40770029,3.501435,2.798287759,2.27163525,8.388328712,6.799791671,27.95315225,2319.255152,26.6880748,3535.745876,43.26546683,10634.95558,4125526.767,22807.31513,110.9168655,2.562812611,559.0381686,0.042128056,0.000557496,2.703658046,0.705072164,559.0772747,0.000400296,101.9815785,0.000954109,250.8928364,14.94538764,16.75239968,0.723217213,0.723036562,0.722696938,6.477422279,0.346611888,322.2024517,1.354211714,1,2.08E-05,0.001551566,0.000315445,0.005727005,0.038052362,0.867180691,2.836205784,0.037671422,0.367132534,2.953832514,0.605156152,2.14E+11,9006.781298,5.89E-05,0.001333707,3.731020979,12.16747241,1.667528086,10.86473701,0.94137063,0.04309651,0.000192387,per ounce
TRUE,1629879780,25-08-2021,USD,3.674708013,86.12708023,103.7707775,492.1934768,1.794951298,636.1539312,97.44805324,1.379005935,1.80078808,1.70049119,1.667005251,2.019830398,85.31364637,1.664926121,0.377319983,1984.193434,1.00072,1.356104994,6.895765853,5.253074685,1.000368591,73.27879313,11.25261831,2.505583924,19618.816,2.016118296,1.261875093,1997.439782,0.913415701,0.028399985,783.5562262,6.477001432,3867.96675,620.8103068,1.00011,93.93486963,21.72252684,178.0103917,6.331905692,57.01576824,135.3418637,15.73497833,15.01246545,45.54465888,0.850875,2.10355414,0.723217213,0.728155,3.112382481,6.041774234,0.723123274,51.13387442,9805.818094,7.740800322,209.1942575,7.79066641,23.77255915,6.379119057,96.02167069,296.1573602,14418.47425,3.223946913,74.25544733,1458.514347,127.1739265,153.4258599,0.7094077,109.818318,109.7349755,84.6849,4078.701861,419.209694,1167.523355,0.301025238,0.833065269,424.9652334,9584.534541,1512.6209,199.4393333,171.8619117,15.07286446,4.537090268,8.986786367,17.66494358,3924.243377,52.52341913,1646.519606,2851.385796,8.021252512,357.1069279,42.7862224,15.45612598,812.7830815,20.19685237,4.214235362,63.76981892,15.06722132,411.8238595,35.10219562,8.819581723,117.1993525,1.439302277,0.385195771,1.000269628,4.105086321,3.555045255,49.83096609,165.492096,3.886932265,6926.226404,3.643909798,4.195289258,100.2225113,73.78759556,1009.001656,3.751877001,8.059262032,12.87169107,8.693491187,1.378587567,10253.17785,584.251044,21.41432604,130.3003806,20718.05805,8.747101869,15.07686201,32.7446667,11.40564754,3.50336,2.79683458,2.272136761,8.389739427,6.799519938,27.93178958,2320.089603,26.67553905,3535.922588,43.238236,10631.5543,4125897.797,22815.06458,110.9190832,2.561481014,559.0214089,0.042065344,0.000557195,2.703360765,0.705001706,558.8314651,0.000400088,102.0232189,0.000954194,250.9861224,14.92118197,16.74620525,0.722949849,0.723087144,0.722812555,6.474211977,0.350293117,322.1316118,1.354340848,1,2.09E-05,0.001552243,0.000315966,0.005727973,0.03810282,0.870770716,2.83856613,0.037732853,0.367617613,2.954865973,0.605258983,2.14E+11,9003.542246,5.89E-05,0.00133408,3.73567246,12.15803328,1.667628026,10.86484558,0.941267162,0.043091771,0.000192381,per ounce
