success,timestamp,date,base,rates.INR,rates.RUTH,rates.XCU,rates.ALU,rates.NI,rates.ZNC,rates.TIN,rates.LCO,rates.BSD,rates.BTN,rates.BWP,rates.BYN,rates.BYR
TRUE,1629877080,25-08-2021,USD,74.29017718,0.001333533,3.742772972,12.20086954,1.669349569,10.85974298,0.941323599,0.043109005,0.999778875,73.26780692,11.2581305,2.50483288,19610.192
TRUE,1629877380,25-08-2021,USD,74.30231914,0.00133396,3.740687076,12.19243761,1.669182005,10.85778879,,0.043108574,1.000078731,73.28758211,11.25205585,2.505283506,19611.956
TRUE,1629877680,25-08-2021,USD,74.29711964,0.001333573,3.740086439,12.1876744,1.669766157,10.8606115,0.94092854,0.043094787,1.000388582,73.29124418,11.25205585,2.504382253,
TRUE,1629877980,25-08-2021,USD,74.34242955,0.001334627,3.73769114,12.17045312,1.668879971,10.86419418,0.940740416,0.043090909,0.999658933,73.27732831,11.2598179,2.505433715,
TRUE,1629878400,25-08-2021,USD,74.26508063,0.001334173,3.743020103,12.18779622,1.669566523,10.86614837,0.941220131,0.043118483,1.000338606,73.2722014,11.25880546,2.505483785,
TRUE,1629878520,25-08-2021,USD,74.27102011,0.001334173,3.738902126,12.17173584,1.67046772,10.86234856,0.941220131,0.043115037,1.000248649,73.2568207,11.25351826,2.50415694,
TRUE,1629878520,25-08-2021,USD,74.27102011,0.001334173,3.738902126,12.17173584,1.67046772,10.86234856,0.941220131,0.043115037,1.000248649,73.2568207,11.25351826,2.50415694,
TRUE,1629879180,25-08-2021,USD,74.25549357,0.001334547,3.732089552,12.16563084,1.668127974,10.86419418,0.941464692,0.043092202,0.999728899,73.27366623,11.25363076,2.504257079,
TRUE,1629879480,25-08-2021,USD,74.25209265,0.001333707,3.731020979,12.16747241,1.667528086,10.86473701,0.94137063,,1.000488533,73.27513106,11.25925543,2.503856522,
TRUE,1629879780,25-08-2021,USD,74.25544733,0.00133408,3.73567246,12.15803328,1.667628026,10.86484558,0.941267162,0.043091771,1.000368591,73.27879313,11.25261831,2.505583924,
TRUE,1629880140,25-08-2021,USD,74.25209265,0.00133364,3.735286981,12.15906657,1.667827635,10.86701689,0.94085329,0.04312667,0.999658933,73.26853933,11.25205585,2.505058193,
TRUE,1629880440,25-08-2021,USD,74.30553973,0.001334347,3.734764349,12.14933779,1.66744474,10.86734259,0.940909727,0.043093925,1.000458548,73.28025796,11.25869297,2.503781418,
TRUE,1629880680,25-08-2021,USD,74.27344212,0.001333867,3.739049621,12.14776374,1.668194858,10.85789736,0.94144588,0.043108574,1.000428562,73.28977935,11.25363076,2.505659028,
TRUE,1629880980,25-08-2021,USD,74.24441159,0.001334013,3.741121495,12.15012994,1.668545504,10.86028581,0.941135476,0.043122792,1.00030862,73.29490625,11.25621811,2.505058193,
TRUE,1629881280,25-08-2021,USD,74.28301174,0.00133448,3.738378883,12.14204882,1.669514452,10.86072007,0.94085329,0.04310685,0.999728899,73.30882212,11.25610561,2.505183367,
TRUE,1629881640,25-08-2021,USD,74.2934291,0.001334387,3.738862814,12.14544682,1.669816856,10.86495414,0.940947352,0.043105127,0.999728899,73.27146899,11.25093091,2.505934411,
TRUE,1629881880,25-08-2021,USD,74.24263611,0.001334227,3.738152948,12.13731588,1.669315498,10.86484558,0.941455286,0.043092632,0.999898817,73.30076557,11.25554315,2.504232044,
TRUE,1629882120,25-08-2021,USD,74.25970304,0.001334227,3.737777778,12.13743724,1.668763474,10.85898301,0.941210725,0.043123223,0.999638942,73.24949656,11.25914294,2.504907984,
TRUE,1629882540,25-08-2021,USD,74.3078334,0.0013336,3.736357485,12.13907358,1.669232253,10.85800592,0.940806259,0.043120638,0.999938798,73.29563867,11.25408073,2.503731348,
TRUE,1629882780,25-08-2021,USD,74.23639431,0.001334467,3.735323615,12.14629632,1.670066477,10.8609372,0.940825072,0.043091771,0.999898817,73.30882212,11.25520567,2.504282114,
TRUE,1629883080,25-08-2021,USD,74.23108726,0.0013338,3.736320149,12.13834947,1.669282307,10.86560554,0.940862696,0.043109005,1.000508524,73.30589247,11.2528433,2.504958054,
TRUE,1629883440,25-08-2021,USD,74.28264763,0.001334107,3.738874621,12.14254087,1.66866255,10.85963441,0.940956758,0.043108574,0.999948793,73.28538486,11.2528433,2.503806453,
TRUE,1629883740,25-08-2021,USD,74.29155469,0.001334133,3.736446416,12.13950808,1.668613123,10.86527984,0.941492911,0.043113744,0.999978779,73.28099038,11.25509317,2.505583924,
