coord.lon,coord.lat,weather.id,weather.main,weather.description,weather.icon,base,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.humidity,visibility,wind.speed,wind.deg,all,dt,sys.country,sys.sunrise,sys.sunset,timezone,id,name,cod
77.4,23.2667,721,Haze,haze,50d,stations,299.28,299.28,299.28,299.28,1015,25,3000,3.09,40,99,1636614091,IN,1636592499,1636632437,19800,1275841,Bhopal,200
77.4,23.2667,721,Haze,haze,50d,stations,300.28,299.35,300.28,300.28,1014,21,3000,4.63,360,67,1636617705,IN,1636592499,1636632437,19800,1275841,Bhopal,200
77.4,23.2667,721,Haze,haze,50d,stations,300.28,299.37,300.28,300.28,1013,22,3000,4.63,10,50,1636621477,IN,1636592499,1636632437,19800,1275841,Bhopal,200
77.4,23.2667,803,Clouds,broken clouds,04d,stations,300.49,299.45,300.49,300.49,1010,20,1010,4.62,47,58,1636624943,IN,1636592499,1636632437,19800,1275841,Bhopal,200
77.4,23.2667,803,Clouds,broken clouds,04d,stations,300.28,299.29,300.28,300.28,1012,19,10000,5.14,10,66,1636628678,IN,1636592499,1636632437,19800,1275841,Bhopal,200
77.4,23.2667,803,Clouds,broken clouds,04d,stations,295.54,294.64,295.54,295.54,1011,31,1011,3.11,56,72,1636632224,IN,1636592499,1636632437,19800,1275841,Bhopal,200
77.4,23.2667,721,Haze,haze,50n,stations,296.28,295.46,296.28,296.28,1013,31,4000,1.54,10,98,1636635820,IN,1636592499,1636632437,19800,1275841,Bhopal,200
77.4,23.2667,721,Haze,haze,50n,stations,295.28,294.33,295.28,295.28,1013,30,4000,2.06,20,98,1636639517,IN,1636592499,1636632437,19800,1275841,Bhopal,200
77.4,23.2667,721,Haze,haze,50n,stations,293.28,292.18,293.28,293.28,1014,32,4000,1.54,20,96,1636642826,IN,1636592499,1636632437,19800,1275841,Bhopal,200
77.4,23.2667,721,Haze,haze,50n,stations,292.28,291.14,292.28,292.28,1014,34,3000,2.57,10,97,1636646543,IN,1636592499,1636632437,19800,1275841,Bhopal,200
77.4,23.2667,721,Haze,haze,50n,stations,291.28,290.09,291.28,291.28,1015,36,3000,2.06,10,97,1636650323,IN,1636592499,1636632437,19800,1275841,Bhopal,200
77.4,23.2667,721,Haze,haze,50n,stations,291.28,290.25,291.28,291.28,1015,42,3000,2.06,360,97,1636653805,IN,1636592499,1636632437,19800,1275841,Bhopal,200
77.4,23.2667,804,Clouds,overcast clouds,04n,stations,290.36,289.21,290.36,290.36,1013,41,1013,2.8,47,100,1636657527,IN,1636678938,1636718814,19800,1275841,Bhopal,200
77.4,23.2667,804,Clouds,overcast clouds,04n,stations,289.73,288.57,289.73,289.73,1013,43,1013,2.65,59,98,1636661130,IN,1636678938,1636718814,19800,1275841,Bhopal,200
77.4,23.2667,804,Clouds,overcast clouds,04n,stations,289.34,288.16,289.34,289.34,1013,44,1013,2.6,55,97,1636664529,IN,1636678938,1636718814,19800,1275841,Bhopal,200
77.4,23.2667,804,Clouds,overcast clouds,04n,stations,289.08,287.9,289.08,289.08,1013,45,1013,2.76,44,93,1636668336,IN,1636678938,1636718814,19800,1275841,Bhopal,200
77.4,23.2667,804,Clouds,overcast clouds,04n,stations,289.01,287.85,289.01,289.01,1013,46,1013,2.42,41,94,1636671937,IN,1636678938,1636718814,19800,1275841,Bhopal,200
77.4,23.2667,804,Clouds,overcast clouds,04n,stations,288.48,287.3,288.48,288.48,1013,47,1013,2.94,41,93,1636675541,IN,1636678938,1636718814,19800,1275841,Bhopal,200
77.4,23.2667,804,Clouds,overcast clouds,04d,stations,287.96,286.83,287.96,287.96,1014,51,1014,2.93,40,99,1636679142,IN,1636678938,1636718814,19800,1275841,Bhopal,200
77.4,23.2667,804,Clouds,overcast clouds,04d,stations,288.87,287.88,288.87,288.87,1015,53,1015,3.1,53,99,1636682743,IN,1636678938,1636718814,19800,1275841,Bhopal,200
77.4,23.2667,701,Mist,mist,50d,stations,290.28,289.48,290.28,290.28,1016,55,3000,2.06,10,96,1636686344,IN,1636678938,1636718814,19800,1275841,Bhopal,200
77.4,23.2667,701,Mist,mist,50d,stations,294.28,293.57,294.28,294.28,1016,43,3000,2.06,40,90,1636689945,IN,1636678938,1636718814,19800,1275841,Bhopal,200
77.4,23.2667,721,Haze,haze,50d,stations,295.28,294.59,295.28,295.28,1017,40,3000,4.12,10,20,1636693546,IN,1636678938,1636718814,19800,1275841,Bhopal,200
77.4,23.2667,721,Haze,haze,50d,stations,298.28,297.66,298.28,298.28,1016,31,3000,5.66,20,20,1636697047,IN,1636678938,1636718814,19800,1275841,Bhopal,200
77.4,23.2667,721,Haze,haze,50d,stations,299.28,299.28,299.28,299.28,1015,27,3000,3.09,70,20,1636700751,IN,1636678938,1636718814,19800,1275841,Bhopal,200
77.4,23.2667,721,Haze,haze,50d,stations,300.28,299.37,300.28,300.28,1014,22,4000,4.12,70,20,1636704219,IN,1636678938,1636718814,19800,1275841,Bhopal,200
77.4,23.2667,721,Haze,haze,50d,stations,301.28,300.01,301.28,301.28,1013,21,5000,3.6,20,20,1636707905,IN,1636678938,1636718814,19800,1275841,Bhopal,200
77.4,23.2667,721,Haze,haze,50d,stations,300.28,299.37,300.28,300.28,1012,22,5000,3.6,20,59,1636711509,IN,1636678938,1636718814,19800,1275841,Bhopal,200
