batsman,runs,deliveries_faced,outs,dots,singles,doubles,threes,fours,sixers,bowled,catches,run_outs
A Chopra,53,71,5,40,21,2,0,7,0,1,2,1
A Choudhary,25,20,2,4,13,1,0,1,1,0,1,1
A Dananjaya,4,5,0,2,2,1,0,0,0,0,0,0
A Flintoff,62,53,2,17,23,2,1,5,2,0,1,0
A Kumble,35,47,2,20,21,1,0,3,0,1,1,0
A Mishra,362,387,30,151,171,22,0,29,5,10,9,9
A Mithun,34,26,5,9,8,2,0,4,1,1,4,0
A Nehra,41,60,8,31,19,1,0,3,1,1,5,2
A Nortje,7,6,1,3,1,0,2,0,0,0,1,0
A Singh,2,9,4,7,2,0,0,0,0,2,0,0
A Symonds,974,745,26,262,287,66,4,74,41,7,14,3
AA Noffke,9,10,1,4,5,0,0,1,0,0,0,1
AB Agarkar,179,151,8,49,65,15,0,13,5,0,6,1
AB Dinda,26,48,9,27,16,1,0,2,0,4,4,1
AB McDonald,123,100,5,31,42,9,1,9,4,1,3,0
AB de Villiers,4849,3181,114,915,1328,248,16,388,232,27,73,6
AC Blizzard,120,90,7,45,17,2,1,21,2,1,6,0
AC Gilchrist,2069,1483,76,628,414,66,4,234,92,16,53,2
AC Thomas,20,19,2,8,8,1,0,1,1,1,0,1
AD Hales,148,117,6,46,43,8,0,13,6,3,3,0
AD Mascarenhas,79,78,10,27,35,9,0,5,1,3,4,3
AD Mathews,724,573,31,176,265,49,3,44,29,6,20,4
AD Russell,1517,826,50,293,257,32,0,105,128,10,35,3
AF Milne,7,12,3,6,5,1,0,0,0,1,1,1
AG Murtaza,10,14,1,7,6,0,0,1,0,0,0,0
AJ Finch,2005,1562,78,602,526,99,4,204,74,29,41,2
AJ Turner,3,10,3,7,3,0,0,0,0,1,2,0
AJ Tye,91,75,8,30,22,6,1,6,5,3,5,0
AM Rahane,3933,3236,125,1139,1324,221,15,416,76,33,74,8
AP Majumdar,87,76,4,25,33,7,0,7,2,1,1,0
AP Tare,339,272,24,124,72,19,1,40,11,4,17,2
AR Patel,913,713,51,217,341,50,0,53,43,11,30,7
AS Joseph,15,13,0,6,3,2,0,2,0,0,0,0
AS Rajpoot,26,41,4,26,10,1,0,2,1,2,2,0
